name,category,city,coordinates,significance
Connaught Place,Commercial Hub,New Delhi,"28.6304, 77.2177","Central rendezvous location for liaison meetings between Rohit Sharma and Amit Verma"
Cyber City,Business District,Gurugram,"28.4950, 77.0895","Corporate front office location for Delta Trading Corp"
Noida Sector 62,IT & Industrial,Noida,"28.6280, 77.3649","Apex Logistics hub and central distribution depot"
Andheri East,Warehouse Zone,Mumbai,"19.1136, 72.8697","Western regional cash vault and logistics coordination base"
Bandra Kurla Complex,Financial Center,Mumbai,"19.0664, 72.8677","Hawala clearing meetings and offshore account coordination"
Karol Bagh,Market & Jewellery,New Delhi,"28.6514, 77.1907","Cash-to-gold conversion and bullion transfer site"
IGI Airport Terminal 3,Transit,New Delhi,"28.5562, 77.1000","Air courier movement hub"
Mumbai Port Trust,Maritime Logistics,Mumbai,"18.9500, 72.8500","Container shipping logistics trace point"
Hauz Khas,Hospitality,New Delhi,"28.5494, 77.2001","Informal meeting site for communications operators"
Gurugram Sector 29,Commercial / Leisure,Gurugram,"28.4682, 77.0632","Late-night operational debriefings"
Old Delhi Railway Station,Transit Hub,New Delhi,"28.6619, 77.2274","Inter-state cash courier transfer point"
Chandni Chowk,Wholesale Market,New Delhi,"28.6506, 77.2303","Traditional financial settlement node"
